"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2022 december";"Alphen-Chaam";"      26"
"Totaal misdrijven";"2023 januari";"Alphen-Chaam";"      30"
"Totaal misdrijven";"2023 februari";"Alphen-Chaam";"      25"
"Totaal misdrijven";"2023 maart";"Alphen-Chaam";"      32"
"Totaal misdrijven";"2023 april";"Alphen-Chaam";"      19"
"Totaal misdrijven";"2023 mei";"Alphen-Chaam";"      29"
"Totaal misdrijven";"2023 juni";"Alphen-Chaam";"      27"
"Totaal misdrijven";"2023 juli";"Alphen-Chaam";"      32"
"Totaal misdrijven";"2023 augustus";"Alphen-Chaam";"      18"
"Totaal misdrijven";"2022 september";"Altena";"     106"
"Totaal misdrijven";"2022 oktober";"Altena";"     133"
"Totaal misdrijven";"2022 november";"Altena";"     118"
"Totaal misdrijven";"2022 december";"Altena";"     153"
"Totaal misdrijven";"2023 januari";"Altena";"     150"
"Totaal misdrijven";"2023 februari";"Altena";"     145"
"Totaal misdrijven";"2023 maart";"Altena";"     110"
"Totaal misdrijven";"2023 april";"Altena";"     119"
"Totaal misdrijven";"2023 mei";"Altena";"     126"
"Totaal misdrijven";"2023 juni";"Altena";"     125"
"Totaal misdrijven";"2023 juli";"Altena";"     113"
"Totaal misdrijven";"2023 augustus";"Altena";"     114"
"Totaal misdrijven";"2022 september";"Ameland";"       7"
"Totaal misdrijven";"2022 oktober";"Ameland";"       9"
"Totaal misdrijven";"2022 november";"Ameland";"       5"
"Totaal misdrijven";"2022 december";"Ameland";"       7"
"Totaal misdrijven";"2023 januari";"Ameland";"       3"
"Totaal misdrijven";"2023 februari";"Ameland";"       1"
"Totaal misdrijven";"2023 maart";"Ameland";"       6"
"Totaal misdrijven";"2023 april";"Ameland";"       5"
"Totaal misdrijven";"2023 mei";"Ameland";"       7"
"Totaal misdrijven";"2023 juni";"Ameland";"       9"
"Totaal misdrijven";"2023 juli";"Ameland";"      21"
"Totaal misdrijven";"2023 augustus";"Ameland";"      16"
"Totaal misdrijven";"2022 september";"Amersfoort";"     535"
"Totaal misdrijven";"2022 oktober";"Amersfoort";"     644"
"Totaal misdrijven";"2022 november";"Amersfoort";"     656"
"Totaal misdrijven";"2022 december";"Amersfoort";"     561"
"Totaal misdrijven";"2023 januari";"Amersfoort";"     555"
"Totaal misdrijven";"2023 februari";"Amersfoort";"     496"
"Totaal misdrijven";"2023 maart";"Amersfoort";"     594"
"Totaal misdrijven";"2023 april";"Amersfoort";"     546"
"Totaal misdrijven";"2023 mei";"Amersfoort";"     659"
"Totaal misdrijven";"2023 juni";"Amersfoort";"     648"
"Totaal misdrijven";"2023 juli";"Amersfoort";"     695"
"Totaal misdrijven";"2023 augustus";"Amersfoort";"     656"
"Totaal misdrijven";"2022 september";"Amstelveen";"     312"
"Totaal misdrijven";"2022 oktober";"Amstelveen";"     350"
"Totaal misdrijven";"2022 november";"Amstelveen";"     368"
"Totaal misdrijven";"2022 december";"Amstelveen";"     324"
"Totaal misdrijven";"2023 januari";"Amstelveen";"     301"
"Totaal misdrijven";"2023 februari";"Amstelveen";"     295"
"Totaal misdrijven";"2023 maart";"Amstelveen";"     253"
"Totaal misdrijven";"2023 april";"Amstelveen";"     332"
"Totaal misdrijven";"2023 mei";"Amstelveen";"     319"
"Totaal misdrijven";"2023 juni";"Amstelveen";"     353"
"Totaal misdrijven";"2023 juli";"Amstelveen";"     321"
"Totaal misdrijven";"2023 augustus";"Amstelveen";"     320"
"Totaal misdrijven";"2022 september";"Amsterdam";"    6505"
"Totaal misdrijven";"2022 oktober";"Amsterdam";"    7666"
"Totaal misdrijven";"2022 november";"Amsterdam";"    7385"
"Totaal misdrijven";"2022 december";"Amsterdam";"    6606"
"Totaal misdrijven";"2023 januari";"Amsterdam";"    7060"
"Totaal misdrijven";"2023 februari";"Amsterdam";"    6067"
"Totaal misdrijven";"2023 maart";"Amsterdam";"    6578"
"Totaal misdrijven";"2023 april";"Amsterdam";"    6547"
"Totaal misdrijven";"2023 mei";"Amsterdam";"    6988"
"Totaal misdrijven";"2023 juni";"Amsterdam";"    6971"
"Totaal misdrijven";"2023 juli";"Amsterdam";"    7549"
"Totaal misdrijven";"2023 augustus";"Amsterdam";"    6615"
"Totaal misdrijven";"2022 september";"Apeldoorn";"     571"
"Totaal misdrijven";"2022 oktober";"Apeldoorn";"     661"
"Totaal misdrijven";"2022 november";"Apeldoorn";"     653"
"Totaal misdrijven";"2022 december";"Apeldoorn";"     554"
"Totaal misdrijven";"2023 januari";"Apeldoorn";"     586"
"Totaal misdrijven";"2023 februari";"Apeldoorn";"     549"
"Totaal misdrijven";"2023 maart";"Apeldoorn";"     530"
"Totaal misdrijven";"2023 april";"Apeldoorn";"     564"
"Totaal misdrijven";"2023 mei";"Apeldoorn";"     543"
"Totaal misdrijven";"2023 juni";"Apeldoorn";"     557"
"Totaal misdrijven";"2023 juli";"Apeldoorn";"     530"
"Totaal misdrijven";"2023 augustus";"Apeldoorn";"     542"
"Totaal misdrijven";"2022 september";"Arnhem";"     902"
"Totaal misdrijven";"2022 oktober";"Arnhem";"    1014"
"Totaal misdrijven";"2022 november";"Arnhem";"    1023"
"Totaal misdrijven";"2022 december";"Arnhem";"     877"
"Totaal misdrijven";"2023 januari";"Arnhem";"     947"
"Totaal misdrijven";"2023 februari";"Arnhem";"     790"
"Totaal misdrijven";"2023 maart";"Arnhem";"     940"
"Totaal misdrijven";"2023 april";"Arnhem";"     891"
"Totaal misdrijven";"2023 mei";"Arnhem";"     884"
"Totaal misdrijven";"2023 juni";"Arnhem";"     955"
"Totaal misdrijven";"2023 juli";"Arnhem";"     943"
"Totaal misdrijven";"2023 augustus";"Arnhem";"     914"
"Totaal misdrijven";"2022 september";"Assen";"     273"
"Totaal misdrijven";"2022 oktober";"Assen";"     308"
"Totaal misdrijven";"2022 november";"Assen";"     271"
"Totaal misdrijven";"2022 december";"Assen";"     286"
"Totaal misdrijven";"2023 januari";"Assen";"     327"
"Totaal misdrijven";"2023 februari";"Assen";"     270"
"Totaal misdrijven";"2023 maart";"Assen";"     487"
"Totaal misdrijven";"2023 april";"Assen";"     268"
"Totaal misdrijven";"2023 mei";"Assen";"     270"
"Totaal misdrijven";"2023 juni";"Assen";"     350"
"Totaal misdrijven";"2023 juli";"Assen";"     322"
"Totaal misdrijven";"2023 augustus";"Assen";"     296"
