"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2023 juli";"Moerdijk";"     115"
"Totaal misdrijven";"2023 augustus";"Moerdijk";"     136"
"Totaal misdrijven";"2022 september";"Molenlanden";"      77"
"Totaal misdrijven";"2022 oktober";"Molenlanden";"      82"
"Totaal misdrijven";"2022 november";"Molenlanden";"      62"
"Totaal misdrijven";"2022 december";"Molenlanden";"      51"
"Totaal misdrijven";"2023 januari";"Molenlanden";"      84"
"Totaal misdrijven";"2023 februari";"Molenlanden";"      76"
"Totaal misdrijven";"2023 maart";"Molenlanden";"      92"
"Totaal misdrijven";"2023 april";"Molenlanden";"      57"
"Totaal misdrijven";"2023 mei";"Molenlanden";"      50"
"Totaal misdrijven";"2023 juni";"Molenlanden";"      71"
"Totaal misdrijven";"2023 juli";"Molenlanden";"      53"
"Totaal misdrijven";"2023 augustus";"Molenlanden";"      37"
"Totaal misdrijven";"2022 september";"Montferland";"      82"
"Totaal misdrijven";"2022 oktober";"Montferland";"      97"
"Totaal misdrijven";"2022 november";"Montferland";"      83"
"Totaal misdrijven";"2022 december";"Montferland";"      72"
"Totaal misdrijven";"2023 januari";"Montferland";"      76"
"Totaal misdrijven";"2023 februari";"Montferland";"      83"
"Totaal misdrijven";"2023 maart";"Montferland";"      81"
"Totaal misdrijven";"2023 april";"Montferland";"      57"
"Totaal misdrijven";"2023 mei";"Montferland";"      65"
"Totaal misdrijven";"2023 juni";"Montferland";"      67"
"Totaal misdrijven";"2023 juli";"Montferland";"      56"
"Totaal misdrijven";"2023 augustus";"Montferland";"      55"
"Totaal misdrijven";"2022 september";"Montfoort";"      28"
"Totaal misdrijven";"2022 oktober";"Montfoort";"      41"
"Totaal misdrijven";"2022 november";"Montfoort";"      28"
"Totaal misdrijven";"2022 december";"Montfoort";"      21"
"Totaal misdrijven";"2023 januari";"Montfoort";"      22"
"Totaal misdrijven";"2023 februari";"Montfoort";"      26"
"Totaal misdrijven";"2023 maart";"Montfoort";"      43"
"Totaal misdrijven";"2023 april";"Montfoort";"      33"
"Totaal misdrijven";"2023 mei";"Montfoort";"      30"
"Totaal misdrijven";"2023 juni";"Montfoort";"      34"
"Totaal misdrijven";"2023 juli";"Montfoort";"      29"
"Totaal misdrijven";"2023 augustus";"Montfoort";"      30"
"Totaal misdrijven";"2022 september";"Mook en Middelaar";"      25"
"Totaal misdrijven";"2022 oktober";"Mook en Middelaar";"      21"
"Totaal misdrijven";"2022 november";"Mook en Middelaar";"      25"
"Totaal misdrijven";"2022 december";"Mook en Middelaar";"      25"
"Totaal misdrijven";"2023 januari";"Mook en Middelaar";"      22"
"Totaal misdrijven";"2023 februari";"Mook en Middelaar";"      23"
"Totaal misdrijven";"2023 maart";"Mook en Middelaar";"      23"
"Totaal misdrijven";"2023 april";"Mook en Middelaar";"      22"
"Totaal misdrijven";"2023 mei";"Mook en Middelaar";"      18"
"Totaal misdrijven";"2023 juni";"Mook en Middelaar";"      26"
"Totaal misdrijven";"2023 juli";"Mook en Middelaar";"      15"
"Totaal misdrijven";"2023 augustus";"Mook en Middelaar";"      17"
"Totaal misdrijven";"2022 september";"Neder-Betuwe";"      46"
"Totaal misdrijven";"2022 oktober";"Neder-Betuwe";"      53"
"Totaal misdrijven";"2022 november";"Neder-Betuwe";"      66"
"Totaal misdrijven";"2022 december";"Neder-Betuwe";"      40"
"Totaal misdrijven";"2023 januari";"Neder-Betuwe";"      44"
"Totaal misdrijven";"2023 februari";"Neder-Betuwe";"      35"
"Totaal misdrijven";"2023 maart";"Neder-Betuwe";"      43"
"Totaal misdrijven";"2023 april";"Neder-Betuwe";"      46"
"Totaal misdrijven";"2023 mei";"Neder-Betuwe";"      53"
"Totaal misdrijven";"2023 juni";"Neder-Betuwe";"      49"
"Totaal misdrijven";"2023 juli";"Neder-Betuwe";"      44"
"Totaal misdrijven";"2023 augustus";"Neder-Betuwe";"      51"
"Totaal misdrijven";"2022 september";"Nederweert";"      34"
"Totaal misdrijven";"2022 oktober";"Nederweert";"      31"
"Totaal misdrijven";"2022 november";"Nederweert";"      51"
"Totaal misdrijven";"2022 december";"Nederweert";"      26"
"Totaal misdrijven";"2023 januari";"Nederweert";"      34"
"Totaal misdrijven";"2023 februari";"Nederweert";"      35"
"Totaal misdrijven";"2023 maart";"Nederweert";"      50"
"Totaal misdrijven";"2023 april";"Nederweert";"      35"
"Totaal misdrijven";"2023 mei";"Nederweert";"      34"
"Totaal misdrijven";"2023 juni";"Nederweert";"      42"
"Totaal misdrijven";"2023 juli";"Nederweert";"      39"
"Totaal misdrijven";"2023 augustus";"Nederweert";"      36"
"Totaal misdrijven";"2022 september";"Nieuwegein";"     254"
"Totaal misdrijven";"2022 oktober";"Nieuwegein";"     263"
"Totaal misdrijven";"2022 november";"Nieuwegein";"     277"
"Totaal misdrijven";"2022 december";"Nieuwegein";"     261"
"Totaal misdrijven";"2023 januari";"Nieuwegein";"     290"
"Totaal misdrijven";"2023 februari";"Nieuwegein";"     289"
"Totaal misdrijven";"2023 maart";"Nieuwegein";"     310"
"Totaal misdrijven";"2023 april";"Nieuwegein";"     261"
"Totaal misdrijven";"2023 mei";"Nieuwegein";"     285"
"Totaal misdrijven";"2023 juni";"Nieuwegein";"     307"
"Totaal misdrijven";"2023 juli";"Nieuwegein";"     284"
"Totaal misdrijven";"2023 augustus";"Nieuwegein";"     280"
"Totaal misdrijven";"2022 september";"Nieuwkoop";"      61"
"Totaal misdrijven";"2022 oktober";"Nieuwkoop";"      65"
"Totaal misdrijven";"2022 november";"Nieuwkoop";"      72"
"Totaal misdrijven";"2022 december";"Nieuwkoop";"      57"
"Totaal misdrijven";"2023 januari";"Nieuwkoop";"      74"
"Totaal misdrijven";"2023 februari";"Nieuwkoop";"      61"
"Totaal misdrijven";"2023 maart";"Nieuwkoop";"      80"
"Totaal misdrijven";"2023 april";"Nieuwkoop";"      48"
"Totaal misdrijven";"2023 mei";"Nieuwkoop";"      53"
"Totaal misdrijven";"2023 juni";"Nieuwkoop";"      52"
"Totaal misdrijven";"2023 juli";"Nieuwkoop";"      34"
"Totaal misdrijven";"2023 augustus";"Nieuwkoop";"      48"
"Totaal misdrijven";"2022 september";"Nijkerk";"     136"
"Totaal misdrijven";"2022 oktober";"Nijkerk";"     141"
"Totaal misdrijven";"2022 november";"Nijkerk";"     112"
"Totaal misdrijven";"2022 december";"Nijkerk";"     138"
"Totaal misdrijven";"2023 januari";"Nijkerk";"     102"
"Totaal misdrijven";"2023 februari";"Nijkerk";"     115"
"Totaal misdrijven";"2023 maart";"Nijkerk";"     112"
"Totaal misdrijven";"2023 april";"Nijkerk";"     105"
"Totaal misdrijven";"2023 mei";"Nijkerk";"      87"
"Totaal misdrijven";"2023 juni";"Nijkerk";"      85"
"Totaal misdrijven";"2023 juli";"Nijkerk";"      88"
"Totaal misdrijven";"2023 augustus";"Nijkerk";"      94"
"Totaal misdrijven";"2022 september";"Nijmegen";"     986"
"Totaal misdrijven";"2022 oktober";"Nijmegen";"    1178"
"Totaal misdrijven";"2022 november";"Nijmegen";"    1044"
"Totaal misdrijven";"2022 december";"Nijmegen";"     962"
"Totaal misdrijven";"2023 januari";"Nijmegen";"     925"
"Totaal misdrijven";"2023 februari";"Nijmegen";"     850"
"Totaal misdrijven";"2023 maart";"Nijmegen";"     976"
"Totaal misdrijven";"2023 april";"Nijmegen";"     831"
"Totaal misdrijven";"2023 mei";"Nijmegen";"     971"
"Totaal misdrijven";"2023 juni";"Nijmegen";"     964"
"Totaal misdrijven";"2023 juli";"Nijmegen";"    1317"
"Totaal misdrijven";"2023 augustus";"Nijmegen";"     992"
"Totaal misdrijven";"2022 september";"Nissewaard";"     314"
"Totaal misdrijven";"2022 oktober";"Nissewaard";"     323"
"Totaal misdrijven";"2022 november";"Nissewaard";"     336"
"Totaal misdrijven";"2022 december";"Nissewaard";"     320"
"Totaal misdrijven";"2023 januari";"Nissewaard";"     330"
"Totaal misdrijven";"2023 februari";"Nissewaard";"     255"
"Totaal misdrijven";"2023 maart";"Nissewaard";"     300"
"Totaal misdrijven";"2023 april";"Nissewaard";"     277"
"Totaal misdrijven";"2023 mei";"Nissewaard";"     297"
"Totaal misdrijven";"2023 juni";"Nissewaard";"     326"
"Totaal misdrijven";"2023 juli";"Nissewaard";"     323"
"Totaal misdrijven";"2023 augustus";"Nissewaard";"     326"
"Totaal misdrijven";"2022 september";"Noardeast-Fryslân";"     115"
"Totaal misdrijven";"2022 oktober";"Noardeast-Fryslân";"     109"
"Totaal misdrijven";"2022 november";"Noardeast-Fryslân";"      69"
"Totaal misdrijven";"2022 december";"Noardeast-Fryslân";"      70"
"Totaal misdrijven";"2023 januari";"Noardeast-Fryslân";"      79"
"Totaal misdrijven";"2023 februari";"Noardeast-Fryslân";"      72"
"Totaal misdrijven";"2023 maart";"Noardeast-Fryslân";"      81"
"Totaal misdrijven";"2023 april";"Noardeast-Fryslân";"      70"
"Totaal misdrijven";"2023 mei";"Noardeast-Fryslân";"      53"
"Totaal misdrijven";"2023 juni";"Noardeast-Fryslân";"      72"
"Totaal misdrijven";"2023 juli";"Noardeast-Fryslân";"      85"
"Totaal misdrijven";"2023 augustus";"Noardeast-Fryslân";"      85"
"Totaal misdrijven";"2022 september";"Noord-Beveland";"      18"
"Totaal misdrijven";"2022 oktober";"Noord-Beveland";"      19"
"Totaal misdrijven";"2022 november";"Noord-Beveland";"      16"
"Totaal misdrijven";"2022 december";"Noord-Beveland";"      19"
"Totaal misdrijven";"2023 januari";"Noord-Beveland";"      14"
"Totaal misdrijven";"2023 februari";"Noord-Beveland";"      12"
"Totaal misdrijven";"2023 maart";"Noord-Beveland";"      18"
"Totaal misdrijven";"2023 april";"Noord-Beveland";"      15"
"Totaal misdrijven";"2023 mei";"Noord-Beveland";"      23"
"Totaal misdrijven";"2023 juni";"Noord-Beveland";"      14"
"Totaal misdrijven";"2023 juli";"Noord-Beveland";"      20"
"Totaal misdrijven";"2023 augustus";"Noord-Beveland";"      28"
"Totaal misdrijven";"2022 september";"Noordenveld";"      67"
"Totaal misdrijven";"2022 oktober";"Noordenveld";"      62"
"Totaal misdrijven";"2022 november";"Noordenveld";"      59"
"Totaal misdrijven";"2022 december";"Noordenveld";"      90"
"Totaal misdrijven";"2023 januari";"Noordenveld";"      73"
"Totaal misdrijven";"2023 februari";"Noordenveld";"      62"
"Totaal misdrijven";"2023 maart";"Noordenveld";"      62"
"Totaal misdrijven";"2023 april";"Noordenveld";"      60"
"Totaal misdrijven";"2023 mei";"Noordenveld";"      45"
"Totaal misdrijven";"2023 juni";"Noordenveld";"      55"
"Totaal misdrijven";"2023 juli";"Noordenveld";"      58"
"Totaal misdrijven";"2023 augustus";"Noordenveld";"      49"
"Totaal misdrijven";"2022 september";"Noordoostpolder";"     133"
"Totaal misdrijven";"2022 oktober";"Noordoostpolder";"     141"
"Totaal misdrijven";"2022 november";"Noordoostpolder";"     113"
"Totaal misdrijven";"2022 december";"Noordoostpolder";"     128"
"Totaal misdrijven";"2023 januari";"Noordoostpolder";"     128"
"Totaal misdrijven";"2023 februari";"Noordoostpolder";"     119"
"Totaal misdrijven";"2023 maart";"Noordoostpolder";"     133"
"Totaal misdrijven";"2023 april";"Noordoostpolder";"     107"
"Totaal misdrijven";"2023 mei";"Noordoostpolder";"     127"
"Totaal misdrijven";"2023 juni";"Noordoostpolder";"     141"
"Totaal misdrijven";"2023 juli";"Noordoostpolder";"     139"
"Totaal misdrijven";"2023 augustus";"Noordoostpolder";"     113"
"Totaal misdrijven";"2022 september";"Noordwijk";"     155"
"Totaal misdrijven";"2022 oktober";"Noordwijk";"     145"
"Totaal misdrijven";"2022 november";"Noordwijk";"     122"
"Totaal misdrijven";"2022 december";"Noordwijk";"     107"
"Totaal misdrijven";"2023 januari";"Noordwijk";"     160"
"Totaal misdrijven";"2023 februari";"Noordwijk";"     129"
"Totaal misdrijven";"2023 maart";"Noordwijk";"     165"
"Totaal misdrijven";"2023 april";"Noordwijk";"     158"
"Totaal misdrijven";"2023 mei";"Noordwijk";"     131"
"Totaal misdrijven";"2023 juni";"Noordwijk";"     149"
"Totaal misdrijven";"2023 juli";"Noordwijk";"     156"
"Totaal misdrijven";"2023 augustus";"Noordwijk";"     150"
"Totaal misdrijven";"2022 september";"Nuenen, Gerwen en Nederwetten";"      63"
"Totaal misdrijven";"2022 oktober";"Nuenen, Gerwen en Nederwetten";"      71"
"Totaal misdrijven";"2022 november";"Nuenen, Gerwen en Nederwetten";"      64"
"Totaal misdrijven";"2022 december";"Nuenen, Gerwen en Nederwetten";"      72"
"Totaal misdrijven";"2023 januari";"Nuenen, Gerwen en Nederwetten";"      86"
"Totaal misdrijven";"2023 februari";"Nuenen, Gerwen en Nederwetten";"      56"
"Totaal misdrijven";"2023 maart";"Nuenen, Gerwen en Nederwetten";"      57"
"Totaal misdrijven";"2023 april";"Nuenen, Gerwen en Nederwetten";"      47"
"Totaal misdrijven";"2023 mei";"Nuenen, Gerwen en Nederwetten";"      55"
"Totaal misdrijven";"2023 juni";"Nuenen, Gerwen en Nederwetten";"      47"
"Totaal misdrijven";"2023 juli";"Nuenen, Gerwen en Nederwetten";"      65"
"Totaal misdrijven";"2023 augustus";"Nuenen, Gerwen en Nederwetten";"      38"
"Totaal misdrijven";"2022 september";"Nunspeet";"      87"
"Totaal misdrijven";"2022 oktober";"Nunspeet";"      88"
"Totaal misdrijven";"2022 november";"Nunspeet";"      77"
"Totaal misdrijven";"2022 december";"Nunspeet";"      80"
"Totaal misdrijven";"2023 januari";"Nunspeet";"      67"
"Totaal misdrijven";"2023 februari";"Nunspeet";"      49"
"Totaal misdrijven";"2023 maart";"Nunspeet";"      62"
"Totaal misdrijven";"2023 april";"Nunspeet";"      64"
"Totaal misdrijven";"2023 mei";"Nunspeet";"      68"
"Totaal misdrijven";"2023 juni";"Nunspeet";"      52"
"Totaal misdrijven";"2023 juli";"Nunspeet";"      54"
"Totaal misdrijven";"2023 augustus";"Nunspeet";"      60"
"Totaal misdrijven";"2022 september";"Oegstgeest";"      67"
"Totaal misdrijven";"2022 oktober";"Oegstgeest";"      50"
"Totaal misdrijven";"2022 november";"Oegstgeest";"      57"
"Totaal misdrijven";"2022 december";"Oegstgeest";"      63"
"Totaal misdrijven";"2023 januari";"Oegstgeest";"      89"
"Totaal misdrijven";"2023 februari";"Oegstgeest";"      78"
"Totaal misdrijven";"2023 maart";"Oegstgeest";"      70"
"Totaal misdrijven";"2023 april";"Oegstgeest";"      85"
"Totaal misdrijven";"2023 mei";"Oegstgeest";"      66"
"Totaal misdrijven";"2023 juni";"Oegstgeest";"      65"
"Totaal misdrijven";"2023 juli";"Oegstgeest";"      86"
"Totaal misdrijven";"2023 augustus";"Oegstgeest";"      67"
"Totaal misdrijven";"2022 september";"Oirschot";"      45"
"Totaal misdrijven";"2022 oktober";"Oirschot";"      50"
"Totaal misdrijven";"2022 november";"Oirschot";"      55"
"Totaal misdrijven";"2022 december";"Oirschot";"      44"
"Totaal misdrijven";"2023 januari";"Oirschot";"      52"
"Totaal misdrijven";"2023 februari";"Oirschot";"      39"
"Totaal misdrijven";"2023 maart";"Oirschot";"      46"
"Totaal misdrijven";"2023 april";"Oirschot";"      33"
"Totaal misdrijven";"2023 mei";"Oirschot";"      56"
"Totaal misdrijven";"2023 juni";"Oirschot";"      41"
"Totaal misdrijven";"2023 juli";"Oirschot";"      37"
"Totaal misdrijven";"2023 augustus";"Oirschot";"      39"
"Totaal misdrijven";"2022 september";"Oisterwijk";"      51"
"Totaal misdrijven";"2022 oktober";"Oisterwijk";"      94"
"Totaal misdrijven";"2022 november";"Oisterwijk";"     123"
"Totaal misdrijven";"2022 december";"Oisterwijk";"     106"
"Totaal misdrijven";"2023 januari";"Oisterwijk";"      76"
"Totaal misdrijven";"2023 februari";"Oisterwijk";"      85"
"Totaal misdrijven";"2023 maart";"Oisterwijk";"      65"
"Totaal misdrijven";"2023 april";"Oisterwijk";"     102"
"Totaal misdrijven";"2023 mei";"Oisterwijk";"      69"
"Totaal misdrijven";"2023 juni";"Oisterwijk";"     149"
"Totaal misdrijven";"2023 juli";"Oisterwijk";"      65"
"Totaal misdrijven";"2023 augustus";"Oisterwijk";"      88"
"Totaal misdrijven";"2022 september";"Oldambt";"      99"
"Totaal misdrijven";"2022 oktober";"Oldambt";"     150"
"Totaal misdrijven";"2022 november";"Oldambt";"     144"
"Totaal misdrijven";"2022 december";"Oldambt";"     132"
"Totaal misdrijven";"2023 januari";"Oldambt";"     145"
"Totaal misdrijven";"2023 februari";"Oldambt";"     149"
"Totaal misdrijven";"2023 maart";"Oldambt";"     175"
"Totaal misdrijven";"2023 april";"Oldambt";"     137"
"Totaal misdrijven";"2023 mei";"Oldambt";"     136"
"Totaal misdrijven";"2023 juni";"Oldambt";"     149"
"Totaal misdrijven";"2023 juli";"Oldambt";"     140"
"Totaal misdrijven";"2023 augustus";"Oldambt";"     119"
"Totaal misdrijven";"2022 september";"Oldebroek";"      53"
"Totaal misdrijven";"2022 oktober";"Oldebroek";"      45"
"Totaal misdrijven";"2022 november";"Oldebroek";"      50"
"Totaal misdrijven";"2022 december";"Oldebroek";"      48"
"Totaal misdrijven";"2023 januari";"Oldebroek";"      48"
"Totaal misdrijven";"2023 februari";"Oldebroek";"      47"
"Totaal misdrijven";"2023 maart";"Oldebroek";"      61"
"Totaal misdrijven";"2023 april";"Oldebroek";"      49"
"Totaal misdrijven";"2023 mei";"Oldebroek";"      55"
"Totaal misdrijven";"2023 juni";"Oldebroek";"      52"
"Totaal misdrijven";"2023 juli";"Oldebroek";"      48"
"Totaal misdrijven";"2023 augustus";"Oldebroek";"     120"
"Totaal misdrijven";"2022 september";"Oldenzaal";"     127"
"Totaal misdrijven";"2022 oktober";"Oldenzaal";"     124"
"Totaal misdrijven";"2022 november";"Oldenzaal";"      96"
"Totaal misdrijven";"2022 december";"Oldenzaal";"     107"
"Totaal misdrijven";"2023 januari";"Oldenzaal";"      79"
"Totaal misdrijven";"2023 februari";"Oldenzaal";"      98"
"Totaal misdrijven";"2023 maart";"Oldenzaal";"     109"
"Totaal misdrijven";"2023 april";"Oldenzaal";"      88"
"Totaal misdrijven";"2023 mei";"Oldenzaal";"      91"
"Totaal misdrijven";"2023 juni";"Oldenzaal";"      96"
"Totaal misdrijven";"2023 juli";"Oldenzaal";"      81"
"Totaal misdrijven";"2023 augustus";"Oldenzaal";"      75"
"Totaal misdrijven";"2022 september";"Olst-Wijhe";"      36"
"Totaal misdrijven";"2022 oktober";"Olst-Wijhe";"      42"
"Totaal misdrijven";"2022 november";"Olst-Wijhe";"      34"
"Totaal misdrijven";"2022 december";"Olst-Wijhe";"      23"
"Totaal misdrijven";"2023 januari";"Olst-Wijhe";"      34"
"Totaal misdrijven";"2023 februari";"Olst-Wijhe";"      23"
"Totaal misdrijven";"2023 maart";"Olst-Wijhe";"      55"
"Totaal misdrijven";"2023 april";"Olst-Wijhe";"      23"
"Totaal misdrijven";"2023 mei";"Olst-Wijhe";"      34"
"Totaal misdrijven";"2023 juni";"Olst-Wijhe";"      31"
"Totaal misdrijven";"2023 juli";"Olst-Wijhe";"      29"
"Totaal misdrijven";"2023 augustus";"Olst-Wijhe";"      25"
"Totaal misdrijven";"2022 september";"Ommen";"      47"
"Totaal misdrijven";"2022 oktober";"Ommen";"      37"
"Totaal misdrijven";"2022 november";"Ommen";"      29"
"Totaal misdrijven";"2022 december";"Ommen";"      56"
"Totaal misdrijven";"2023 januari";"Ommen";"      30"
"Totaal misdrijven";"2023 februari";"Ommen";"      44"
"Totaal misdrijven";"2023 maart";"Ommen";"      35"
"Totaal misdrijven";"2023 april";"Ommen";"      18"
"Totaal misdrijven";"2023 mei";"Ommen";"      36"
"Totaal misdrijven";"2023 juni";"Ommen";"      34"
"Totaal misdrijven";"2023 juli";"Ommen";"      41"
"Totaal misdrijven";"2023 augustus";"Ommen";"      53"
"Totaal misdrijven";"2022 september";"Oost Gelre";"      65"
"Totaal misdrijven";"2022 oktober";"Oost Gelre";"      67"
"Totaal misdrijven";"2022 november";"Oost Gelre";"      46"
"Totaal misdrijven";"2022 december";"Oost Gelre";"      54"
"Totaal misdrijven";"2023 januari";"Oost Gelre";"      60"
"Totaal misdrijven";"2023 februari";"Oost Gelre";"      51"
"Totaal misdrijven";"2023 maart";"Oost Gelre";"      54"
"Totaal misdrijven";"2023 april";"Oost Gelre";"      59"
"Totaal misdrijven";"2023 mei";"Oost Gelre";"      46"
"Totaal misdrijven";"2023 juni";"Oost Gelre";"      69"
"Totaal misdrijven";"2023 juli";"Oost Gelre";"      95"
"Totaal misdrijven";"2023 augustus";"Oost Gelre";"      51"
"Totaal misdrijven";"2022 september";"Oosterhout";"     207"
"Totaal misdrijven";"2022 oktober";"Oosterhout";"     222"
"Totaal misdrijven";"2022 november";"Oosterhout";"     191"
"Totaal misdrijven";"2022 december";"Oosterhout";"     187"
"Totaal misdrijven";"2023 januari";"Oosterhout";"     180"
"Totaal misdrijven";"2023 februari";"Oosterhout";"     166"
"Totaal misdrijven";"2023 maart";"Oosterhout";"     184"
"Totaal misdrijven";"2023 april";"Oosterhout";"     153"
"Totaal misdrijven";"2023 mei";"Oosterhout";"     194"
"Totaal misdrijven";"2023 juni";"Oosterhout";"     165"
"Totaal misdrijven";"2023 juli";"Oosterhout";"     155"
"Totaal misdrijven";"2023 augustus";"Oosterhout";"     146"
"Totaal misdrijven";"2022 september";"Ooststellingwerf";"      44"
"Totaal misdrijven";"2022 oktober";"Ooststellingwerf";"      46"
"Totaal misdrijven";"2022 november";"Ooststellingwerf";"      29"
"Totaal misdrijven";"2022 december";"Ooststellingwerf";"      49"
"Totaal misdrijven";"2023 januari";"Ooststellingwerf";"      51"
"Totaal misdrijven";"2023 februari";"Ooststellingwerf";"      69"
"Totaal misdrijven";"2023 maart";"Ooststellingwerf";"      46"
"Totaal misdrijven";"2023 april";"Ooststellingwerf";"      41"
"Totaal misdrijven";"2023 mei";"Ooststellingwerf";"      48"
"Totaal misdrijven";"2023 juni";"Ooststellingwerf";"      46"
"Totaal misdrijven";"2023 juli";"Ooststellingwerf";"      54"
"Totaal misdrijven";"2023 augustus";"Ooststellingwerf";"      36"
"Totaal misdrijven";"2022 september";"Oostzaan";"      41"
"Totaal misdrijven";"2022 oktober";"Oostzaan";"      56"
"Totaal misdrijven";"2022 november";"Oostzaan";"      33"
"Totaal misdrijven";"2022 december";"Oostzaan";"      37"
"Totaal misdrijven";"2023 januari";"Oostzaan";"      52"
"Totaal misdrijven";"2023 februari";"Oostzaan";"      34"
"Totaal misdrijven";"2023 maart";"Oostzaan";"      37"
"Totaal misdrijven";"2023 april";"Oostzaan";"      47"
"Totaal misdrijven";"2023 mei";"Oostzaan";"      53"
"Totaal misdrijven";"2023 juni";"Oostzaan";"      47"
"Totaal misdrijven";"2023 juli";"Oostzaan";"      39"
"Totaal misdrijven";"2023 augustus";"Oostzaan";"      36"
"Totaal misdrijven";"2022 september";"Opmeer";"      32"
"Totaal misdrijven";"2022 oktober";"Opmeer";"      20"
"Totaal misdrijven";"2022 november";"Opmeer";"      30"
"Totaal misdrijven";"2022 december";"Opmeer";"      19"
"Totaal misdrijven";"2023 januari";"Opmeer";"      17"
"Totaal misdrijven";"2023 februari";"Opmeer";"      20"
"Totaal misdrijven";"2023 maart";"Opmeer";"      24"
"Totaal misdrijven";"2023 april";"Opmeer";"      15"
"Totaal misdrijven";"2023 mei";"Opmeer";"      25"
"Totaal misdrijven";"2023 juni";"Opmeer";"      28"
"Totaal misdrijven";"2023 juli";"Opmeer";"      23"
"Totaal misdrijven";"2023 augustus";"Opmeer";"      26"
"Totaal misdrijven";"2022 september";"Opsterland";"      42"
"Totaal misdrijven";"2022 oktober";"Opsterland";"      73"
"Totaal misdrijven";"2022 november";"Opsterland";"      46"
"Totaal misdrijven";"2022 december";"Opsterland";"      70"
"Totaal misdrijven";"2023 januari";"Opsterland";"      73"
"Totaal misdrijven";"2023 februari";"Opsterland";"      57"
"Totaal misdrijven";"2023 maart";"Opsterland";"      41"
"Totaal misdrijven";"2023 april";"Opsterland";"      39"
"Totaal misdrijven";"2023 mei";"Opsterland";"      40"
"Totaal misdrijven";"2023 juni";"Opsterland";"      35"
"Totaal misdrijven";"2023 juli";"Opsterland";"      42"
"Totaal misdrijven";"2023 augustus";"Opsterland";"      58"
"Totaal misdrijven";"2022 september";"Oss";"     375"
"Totaal misdrijven";"2022 oktober";"Oss";"     384"
"Totaal misdrijven";"2022 november";"Oss";"     343"
"Totaal misdrijven";"2022 december";"Oss";"     379"
"Totaal misdrijven";"2023 januari";"Oss";"     387"
"Totaal misdrijven";"2023 februari";"Oss";"     364"
"Totaal misdrijven";"2023 maart";"Oss";"     327"
"Totaal misdrijven";"2023 april";"Oss";"     350"
"Totaal misdrijven";"2023 mei";"Oss";"     365"
"Totaal misdrijven";"2023 juni";"Oss";"     392"
"Totaal misdrijven";"2023 juli";"Oss";"     391"
"Totaal misdrijven";"2023 augustus";"Oss";"     372"
"Totaal misdrijven";"2022 september";"Oude IJsselstreek";"      83"
"Totaal misdrijven";"2022 oktober";"Oude IJsselstreek";"      76"
"Totaal misdrijven";"2022 november";"Oude IJsselstreek";"      81"
"Totaal misdrijven";"2022 december";"Oude IJsselstreek";"      67"
"Totaal misdrijven";"2023 januari";"Oude IJsselstreek";"      76"
"Totaal misdrijven";"2023 februari";"Oude IJsselstreek";"      53"
"Totaal misdrijven";"2023 maart";"Oude IJsselstreek";"      83"
"Totaal misdrijven";"2023 april";"Oude IJsselstreek";"      82"
"Totaal misdrijven";"2023 mei";"Oude IJsselstreek";"      73"
"Totaal misdrijven";"2023 juni";"Oude IJsselstreek";"      81"
"Totaal misdrijven";"2023 juli";"Oude IJsselstreek";"      80"
"Totaal misdrijven";"2023 augustus";"Oude IJsselstreek";"      86"
"Totaal misdrijven";"2022 september";"Ouder-Amstel";"      66"
"Totaal misdrijven";"2022 oktober";"Ouder-Amstel";"      71"
"Totaal misdrijven";"2022 november";"Ouder-Amstel";"     102"
"Totaal misdrijven";"2022 december";"Ouder-Amstel";"      89"
"Totaal misdrijven";"2023 januari";"Ouder-Amstel";"      76"
"Totaal misdrijven";"2023 februari";"Ouder-Amstel";"      71"
"Totaal misdrijven";"2023 maart";"Ouder-Amstel";"      65"
"Totaal misdrijven";"2023 april";"Ouder-Amstel";"      90"
"Totaal misdrijven";"2023 mei";"Ouder-Amstel";"      88"
"Totaal misdrijven";"2023 juni";"Ouder-Amstel";"      80"
"Totaal misdrijven";"2023 juli";"Ouder-Amstel";"      76"
"Totaal misdrijven";"2023 augustus";"Ouder-Amstel";"      49"
"Totaal misdrijven";"2022 september";"Oudewater";"      16"
"Totaal misdrijven";"2022 oktober";"Oudewater";"      25"
"Totaal misdrijven";"2022 november";"Oudewater";"      16"
"Totaal misdrijven";"2022 december";"Oudewater";"      17"
"Totaal misdrijven";"2023 januari";"Oudewater";"      24"
"Totaal misdrijven";"2023 februari";"Oudewater";"      15"
"Totaal misdrijven";"2023 maart";"Oudewater";"      14"
"Totaal misdrijven";"2023 april";"Oudewater";"      15"
"Totaal misdrijven";"2023 mei";"Oudewater";"      14"
"Totaal misdrijven";"2023 juni";"Oudewater";"      20"
"Totaal misdrijven";"2023 juli";"Oudewater";"      13"
"Totaal misdrijven";"2023 augustus";"Oudewater";"      13"
"Totaal misdrijven";"2022 september";"Overbetuwe";"     120"
"Totaal misdrijven";"2022 oktober";"Overbetuwe";"     145"
"Totaal misdrijven";"2022 november";"Overbetuwe";"     146"
"Totaal misdrijven";"2022 december";"Overbetuwe";"     104"
"Totaal misdrijven";"2023 januari";"Overbetuwe";"     124"
