Id,crimes_count,region,year
3114,7105,GM0200,2022JJ00
3120,600,GM0003,2010JJ00
3126,665,GM0003,2011JJ00
3132,535,GM0003,2012JJ00
3138,510,GM0003,2013JJ00
3144,500,GM0003,2014JJ00
3150,445,GM0003,2015JJ00
3156,475,GM0003,2016JJ00
3162,415,GM0003,2017JJ00
3168,430,GM0003,2018JJ00
3174,495,GM0003,2019JJ00
3180,470,GM0003,2020JJ00
3198,16765,GM0202,2010JJ00
3204,16640,GM0202,2011JJ00
3210,15215,GM0202,2012JJ00
3216,14390,GM0202,2013JJ00
3222,13910,GM0202,2014JJ00
3228,12620,GM0202,2015JJ00
3234,12695,GM0202,2016JJ00
3240,11520,GM0202,2017JJ00
3246,10755,GM0202,2018JJ00
3252,11840,GM0202,2019JJ00
3258,11330,GM0202,2020JJ00
3264,10715,GM0202,2021JJ00
3270,10845,GM0202,2022JJ00
3276,5350,GM0106,2010JJ00
3282,4945,GM0106,2011JJ00
3288,5000,GM0106,2012JJ00
3294,4745,GM0106,2013JJ00
3300,4130,GM0106,2014JJ00
3306,3840,GM0106,2015JJ00
3312,3755,GM0106,2016JJ00
3318,3380,GM0106,2017JJ00
3324,3040,GM0106,2018JJ00
3330,3580,GM0106,2019JJ00
3336,3700,GM0106,2020JJ00
3342,3390,GM0106,2021JJ00
3348,3420,GM0106,2022JJ00
3354,850,GM0743,2010JJ00
3360,950,GM0743,2011JJ00
3366,920,GM0743,2012JJ00
3372,875,GM0743,2013JJ00
3378,900,GM0743,2014JJ00
3384,860,GM0743,2015JJ00
3390,765,GM0743,2016JJ00
3396,685,GM0743,2017JJ00
3402,520,GM0743,2018JJ00
3408,660,GM0743,2019JJ00
3414,640,GM0743,2020JJ00
3420,570,GM0743,2021JJ00
3426,620,GM0743,2022JJ00
3432,290,GM0744,2010JJ00
3438,340,GM0744,2011JJ00
3444,370,GM0744,2012JJ00
3450,335,GM0744,2013JJ00
3456,335,GM0744,2014JJ00
3462,315,GM0744,2015JJ00
3468,230,GM0744,2016JJ00
3474,235,GM0744,2017JJ00
3480,180,GM0744,2018JJ00
3486,215,GM0744,2019JJ00
3492,200,GM0744,2020JJ00
3498,225,GM0744,2021JJ00
3504,215,GM0744,2022JJ00
3510,1560,GM0308,2010JJ00
3516,1645,GM0308,2011JJ00
3522,1530,GM0308,2012JJ00
3528,1345,GM0308,2013JJ00
3534,1280,GM0308,2014JJ00
3540,1245,GM0308,2015JJ00
3546,1280,GM0308,2016JJ00
3552,1195,GM0308,2017JJ00
3558,1110,GM0308,2018JJ00
3564,1105,GM0308,2019JJ00
3570,1065,GM0308,2020JJ00
3576,895,GM0308,2021JJ00
3582,885,GM0308,2022JJ00
3588,2355,GM0489,2010JJ00
3594,2550,GM0489,2011JJ00
3600,2365,GM0489,2012JJ00
3606,2070,GM0489,2013JJ00
3612,1975,GM0489,2014JJ00
3618,1965,GM0489,2015JJ00
3624,2080,GM0489,2016JJ00
3630,2120,GM0489,2017JJ00
3636,1890,GM0489,2018JJ00
3642,2045,GM0489,2019JJ00
3648,1965,GM0489,2020JJ00
3654,1770,GM0489,2021JJ00
3660,1895,GM0489,2022JJ00
3666,2610,GM0203,2010JJ00
3672,2715,GM0203,2011JJ00
3678,2485,GM0203,2012JJ00
3684,2460,GM0203,2013JJ00
3690,2215,GM0203,2014JJ00
3696,2170,GM0203,2015JJ00
3702,2075,GM0203,2016JJ00
3708,1715,GM0203,2017JJ00
3714,1750,GM0203,2018JJ00
3720,1770,GM0203,2019JJ00
3726,1900,GM0203,2020JJ00
3732,2000,GM0203,2021JJ00
3738,1880,GM0203,2022JJ00
3744,330,GM0005,2010JJ00
3750,370,GM0005,2011JJ00
3756,300,GM0005,2012JJ00
3762,230,GM0005,2013JJ00
3768,265,GM0005,2014JJ00
3774,255,GM0005,2015JJ00
3780,200,GM0005,2016JJ00
3786,175,GM0005,2017JJ00
3792,155,GM0005,2018JJ00
3822,1285,GM0888,2010JJ00
3828,1410,GM0888,2011JJ00
3834,1255,GM0888,2012JJ00
3840,1195,GM0888,2013JJ00
3846,1060,GM0888,2014JJ00
3852,1090,GM0888,2015JJ00
3858,1030,GM0888,2016JJ00
3864,965,GM0888,2017JJ00
3870,645,GM0888,2018JJ00
3876,740,GM0888,2019JJ00
3882,770,GM0888,2020JJ00
3888,600,GM0888,2021JJ00
3894,650,GM0888,2022JJ00
3954,1130,GM1954,2019JJ00
3960,1170,GM1954,2020JJ00
3966,1050,GM1954,2021JJ00
3972,1105,GM1954,2022JJ00
3978,375,GM0370,2010JJ00
3984,375,GM0370,2011JJ00
3990,440,GM0370,2012JJ00
3996,360,GM0370,2013JJ00
4002,265,GM0370,2014JJ00
4008,255,GM0370,2015JJ00
4014,285,GM0370,2016JJ00
4020,245,GM0370,2017JJ00
4026,320,GM0370,2018JJ00
4032,350,GM0370,2019JJ00
4038,315,GM0370,2020JJ00
4044,325,GM0370,2021JJ00
4056,690,GM0889,2010JJ00
4062,645,GM0889,2011JJ00
4068,680,GM0889,2012JJ00
4074,590,GM0889,2013JJ00
4080,475,GM0889,2014JJ00
4086,435,GM0889,2015JJ00
4092,445,GM0889,2016JJ00
4098,350,GM0889,2017JJ00
4104,355,GM0889,2018JJ00
4110,395,GM0889,2019JJ00
4116,395,GM0889,2020JJ00
4122,405,GM0889,2021JJ00
4128,375,GM0889,2022JJ00
4134,330,GM0007,2010JJ00
4140,300,GM0007,2011JJ00
4146,275,GM0007,2012JJ00
4152,265,GM0007,2013JJ00
