region_code,period,population
LD01,2009-12,1713954.0
LD01,2010-01,1713968.0
LD01,2010-02,1714257.0
LD01,2010-03,1714053.0
LD01,2010-04,1714317.0
LD01,2010-05,1714574.0
LD01,2010-06,1714787.0
LD01,2010-07,1714883.0
LD01,2010-08,1715837.0
LD01,2010-09,1717522.0
LD01,2010-10,1717991.0
LD01,2010-11,1717919.0
LD01,2010-12,1717729.0
LD01,2011-01,1717525.0
LD01,2011-02,1717621.0
LD01,2011-03,1717468.0
LD01,2011-04,1717551.0
LD01,2011-05,1717604.0
LD01,2011-06,1717389.0
LD01,2011-07,1717151.0
LD01,2011-08,1718112.0
LD01,2011-09,1720283.0
LD01,2011-10,1720274.0
LD01,2011-11,1719615.0
LD01,2011-12,1718896.0
LD01,2012-01,1718547.0
LD01,2012-02,1718290.0
LD01,2012-03,1717772.0
LD01,2012-04,1717381.0
LD01,2012-05,1717305.0
LD01,2012-06,1717030.0
LD01,2012-07,1716874.0
LD01,2012-08,1718167.0
LD01,2012-09,1719611.0
LD01,2012-10,1719392.0
LD01,2012-11,1719005.0
LD01,2012-12,1718485.0
LD01,2013-01,1718011.0
LD01,2013-02,1717326.0
LD01,2013-03,1716794.0
LD01,2013-04,1716535.0
LD01,2013-05,1716467.0
LD01,2013-06,1716257.0
LD01,2013-07,1716145.0
LD01,2013-08,1716787.0
LD01,2013-09,1718555.0
LD01,2013-10,1718406.0
LD01,2013-11,1718445.0
LD01,2013-12,1718033.0
LD01,2014-01,1718064.0
LD01,2014-02,1717861.0
LD01,2014-03,1717499.0
LD01,2014-04,1717429.0
LD01,2014-05,1717392.0
LD01,2014-06,1716872.0
LD01,2014-07,1716483.0
LD01,2014-08,1717509.0
LD01,2014-09,1719222.0
LD01,2014-10,1719465.0
LD01,2014-11,1719271.0
LD01,2014-12,1718775.0
LD01,2015-01,1718367.0
LD01,2015-02,1718211.0
LD01,2015-03,1717716.0
LD01,2015-04,1717252.0
LD01,2015-05,1717103.0
LD01,2015-06,1716804.0
LD01,2015-07,1716401.0
LD01,2015-08,1717695.0
LD01,2015-09,1718461.0
LD01,2015-10,1718705.0
LD01,2015-11,1718805.0
LD01,2015-12,1718390.0
LD01,2016-01,1718061.0
LD01,2016-02,1717842.0
LD01,2016-03,1717243.0
LD01,2016-04,1716968.0
LD01,2016-05,1717209.0
LD01,2016-06,1717233.0
LD01,2016-07,1717128.0
LD01,2016-08,1718859.0
LD01,2016-09,1721188.0
LD01,2016-10,1722025.0
LD01,2016-11,1722432.0
LD01,2016-12,1722247.0
LD01,2017-01,1721125.0
LD01,2017-02,1721451.0
LD01,2017-03,1720948.0
LD01,2017-04,1720898.0
LD01,2017-05,1720814.0
LD01,2017-06,1719898.0
LD01,2017-07,1718879.0
LD01,2017-08,1720441.0
LD01,2017-09,1722276.0
LD01,2017-10,1722414.0
LD01,2017-11,1722344.0
LD01,2017-12,1722312.0
LD01,2018-01,1721654.0
LD01,2018-02,1721492.0
LD01,2018-03,1720857.0
LD01,2018-04,1720751.0
LD01,2018-05,1720991.0
LD01,2018-06,1720101.0
LD01,2018-07,1719459.0
LD01,2018-08,1721683.0
LD01,2018-09,1723390.0
LD01,2018-10,1723863.0
LD01,2018-11,1723977.0
LD01,2018-12,1723829.0
LD01,2019-01,1723400.0
LD01,2019-02,1723790.0
LD01,2019-03,1723749.0
LD01,2019-04,1723688.0
LD01,2019-05,1723677.0
LD01,2019-06,1723770.0
LD01,2019-07,1723715.0
LD01,2019-08,1726166.0
LD01,2019-09,1728591.0
LD01,2019-10,1729404.0
LD01,2019-11,1729600.0
LD01,2019-12,1729505.0
LD01,2020-01,1729246.0
LD01,2020-02,1729759.0
LD01,2020-03,1729234.0
LD01,2020-04,1728652.0
